wall_time,step,value
1744457616.6540225,0,9.999999747378752e-05
1744537711.0765154,1,9.999999747378752e-05
1744617635.8205936,2,9.999999747378752e-05
1744698394.8140328,3,9.999999747378752e-05
1744778994.76181,4,9.999999747378752e-05
1744863635.2978415,5,9.999999747378752e-05
1744945930.8652902,6,9.999999747378752e-05
